N,Okrug,Rooms,Price,Totsp,Livesp,Kitsp,Dolgota,Shirota,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,View,Elevator
150411534,0.0,1.0,7000000.0,36.0,20.0,10.0,37.677176,55.738267,3.9803090720848306,15.0,1.0,0.0,0.0,1.0,4.0,12.0,0.0,двор,1.0
19220848,0.0,2.0,7000000.0,35.0,22.0,5.5,37.683257,55.735302,4.4682176243308485,10.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,двор,1.0
150684424,0.0,2.0,7021000.0,41.2,27.8,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,5.0,19.0,1.0,–,0.0
149213364,0.0,1.0,7079400.0,34.0,19.0,9.0,37.642132,55.774305,2.6820265052968852,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0,–,1.0
149031293,0.0,1.0,7189943.0,30.5,30.5,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
150645957,0.0,1.0,7200000.0,31.0,18.0,6.0,37.678784,55.774011,4.324211348200492,4.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,двор,1.0
150974485,0.0,1.0,7200000.0,35.0,20.0,9.0,37.689096,55.773732,4.871673210398167,10.0,1.0,0.0,0.0,1.0,10.0,12.0,0.0,–,1.0
150545360,0.0,1.0,7200000.0,27.0,25.0,,37.691638,55.77472,5.063252232118456,12.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,двор,0.0
149808503,0.0,1.0,7200000.0,32.0,19.0,6.0,37.682062,55.733472,4.50023186395581,15.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0,двор,1.0
150118457,0.0,1.0,7220153.0,33.6,33.6,,37.67228,55.775824,4.100437086981133,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,двор,1.0
150381527,0.0,1.0,22006000.0,50.5,20.0,17.3,37.649076,55.755935,1.8476606497500434,9.0,1.0,1.0,0.0,0.0,2.0,7.0,0.0,улица,1.0
150508607,0.0,3.0,31000000.0,87.6,55.0,13.0,37.547144,55.758073,4.572605893417217,10.0,0.0,1.0,1.0,1.0,17.0,22.0,0.0,двор,1.0
149134328,0.0,3.0,83921718.0,138.6,,,37.646848,55.741531,2.16732551924391,6.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0,двор и улица,1.0
149031344,0.0,1.0,7220153.0,33.6,33.6,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150833956,0.0,1.0,7250000.0,41.9,,,37.564721,55.771218,3.9578311763012803,11.0,1.0,0.0,0.0,0.0,20.0,44.0,1.0,–,1.0
149031370,0.0,1.0,7269461.0,32.2,32.2,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150977807,0.0,2.0,7300000.0,38.0,24.0,6.0,37.683257,55.735302,4.4682176243308485,10.0,1.0,1.0,1.0,0.0,2.0,9.0,0.0,улица,1.0
149396229,0.0,1.0,7300000.0,32.0,19.5,6.0,37.668615,55.755353,3.059104109556207,5.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,двор и улица,0.0
149311291,0.0,2.0,7330000.0,47.0,29.0,6.5,37.537443,55.759993,5.200659112943567,15.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,двор,0.0
150684571,0.0,2.0,7356800.0,42.0,23.4,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,5.0,19.0,1.0,–,0.0
150684509,0.0,2.0,7356800.0,41.3,27.8,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,4.0,19.0,1.0,–,0.0
149390159,0.0,2.0,7500000.0,45.0,30.0,6.0,37.538431,55.75937,5.1305334272168315,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,двор,0.0
149063476,0.0,1.0,7500000.0,35.2,17.0,8.5,37.689096,55.773732,4.871673210398167,10.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0,улица,1.0
150945577,0.0,2.0,7600000.0,38.0,24.0,6.0,37.536949,55.758392,5.210708614041253,10.0,0.0,1.0,1.0,1.0,7.0,9.0,0.0,двор,1.0
149507258,0.0,2.0,7650000.0,43.0,36.0,6.0,37.544054,55.762571,4.8409281601902165,10.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,–,0.0
149507223,0.0,2.0,7650000.0,43.0,36.0,6.0,37.544054,55.762571,4.8409281601902165,15.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,–,0.0
150236079,0.0,2.0,7650000.0,36.0,21.0,5.0,37.656505,55.785685,4.231421977875553,13.0,1.0,1.0,1.0,1.0,8.0,9.0,0.0,двор,1.0
149031387,0.0,1.0,7687509.0,33.4,33.4,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
151005178,0.0,1.0,7764334.0,32.2,18.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,–,1.0
150977411,0.0,2.0,7800000.0,45.0,30.0,6.5,37.673484,55.732651,4.09562829534855,8.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,двор,0.0
146275883,0.0,1.0,7800000.0,32.0,21.0,6.0,37.56344,55.761882,3.6420378751009457,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,двор,0.0
149385643,0.0,2.0,7800000.0,44.0,31.0,6.0,37.523411,55.752931,6.033129633222588,10.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,двор,0.0
150043158,0.0,1.0,7800000.0,31.0,20.0,6.0,37.548564,55.764384,4.61256522129701,13.0,1.0,1.0,1.0,1.0,7.0,9.0,0.0,двор,1.0
149231113,0.0,1.0,7800000.0,35.0,20.0,10.0,37.684874,55.743188,4.236984715414311,5.0,1.0,0.0,1.0,1.0,8.0,12.0,0.0,двор,1.0
149031278,0.0,1.0,7838741.0,34.9,34.9,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150638556,0.0,1.0,7850000.0,24.0,15.0,4.0,37.636976,55.770294,2.133854022251928,4.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,двор,0.0
150405030,0.0,2.0,7850000.0,43.4,29.2,5.6,37.546857,55.754335,4.565710445385201,7.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,двор,0.0
147872339,0.0,1.0,7863878.0,29.0,29.0,,37.672163,55.776294,4.126151005667003,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,двор,1.0
150894393,0.0,2.0,37500000.0,64.5,44.8,8.2,37.586095,55.776183,3.2698065155857505,2.0,1.0,1.0,1.0,0.0,3.0,11.0,0.0,двор и улица,1.0
150768581,0.0,2.0,20070086.0,65.3,65.3,12.3,37.676547,55.742012,3.781870951561233,5.0,0.0,1.0,0.0,1.0,2.0,13.0,1.0,–,1.0
149042589,0.0,2.0,56649600.0,96.0,60.0,23.0,37.591557,55.770973,2.6093461075881716,3.0,1.0,1.0,0.0,0.0,6.0,12.0,1.0,улица,1.0
149031257,0.0,1.0,7863878.0,29.0,29.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
149031258,0.0,1.0,7989174.0,28.0,28.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
151085732,0.0,2.0,8000000.0,57.0,31.0,9.0,37.632448,55.724834,3.3068049124779044,7.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,улица,0.0
150206839,0.0,1.0,8000000.0,37.0,20.0,9.0,37.683221,55.734141,4.526934816738547,15.0,1.0,1.0,1.0,1.0,2.0,14.0,0.0,двор,1.0
148677909,0.0,1.0,8000000.0,38.5,17.0,8.2,37.685512,55.779028,4.980494676403961,13.0,1.0,1.0,0.0,1.0,5.0,14.0,0.0,двор,1.0
151005822,0.0,2.0,8081363.0,55.2,30.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,–,1.0
151005668,0.0,1.0,8081363.0,55.2,25.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,–,1.0
149031323,0.0,1.0,8081363.0,55.2,55.2,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
150856219,0.0,3.0,8150000.0,56.0,40.0,6.0,37.638835,55.733655,2.5279851701063407,4.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,–,0.0
150854616,0.0,3.0,8150000.0,56.0,40.0,6.0,37.638835,55.733655,2.5279851701063407,5.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,–,0.0
150975668,0.0,1.0,8157500.0,43.0,20.0,,37.564721,55.771218,3.9578311763012803,7.0,1.0,1.0,0.0,0.0,3.0,44.0,1.0,–,1.0
149031334,0.0,1.0,8168388.0,40.8,40.8,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
50961163,0.0,1.0,8178900.0,41.1,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,4.0,39.0,1.0,–,0.0
147398175,0.0,2.0,8200000.0,44.6,32.3,5.6,37.674885,55.730831,4.284992348492866,7.0,1.0,1.0,1.0,1.0,7.0,9.0,0.0,двор,1.0
150418247,0.0,1.0,8200000.0,40.0,20.0,8.5,37.541404,55.761381,4.979134480860643,15.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,двор,0.0
149933253,0.0,2.0,8300000.0,40.5,27.0,7.0,37.655347,55.771312,2.961559858670742,9.0,1.0,1.0,1.0,0.0,3.0,6.0,0.0,двор и улица,1.0
148800461,0.0,2.0,8323802.0,55.2,55.2,,37.67228,55.775824,4.100437086981133,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,улица,1.0
149031331,0.0,1.0,8375472.0,37.9,37.9,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
144408040,0.0,1.0,8400000.0,31.0,19.0,6.0,37.570312,55.762505,3.2476342370898528,7.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,двор,0.0
50540787,0.0,1.0,8400000.0,32.0,19.0,5.1,37.668435,55.771418,3.6229763047805195,6.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0,двор,1.0
149031315,0.0,1.0,8410919.0,28.7,28.7,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,5.0,,1.0,–,1.0
150118455,0.0,1.0,8437054.0,39.8,39.8,,37.67228,55.775824,4.100437086981133,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,двор,1.0
137249950,0.0,2.0,8500000.0,43.5,28.7,6.0,37.562164,55.770537,4.062456503537142,8.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,двор,0.0
150585923,0.0,1.0,8500000.0,35.0,18.0,9.0,37.59153,55.78486,3.8891421988208887,10.0,1.0,1.0,1.0,1.0,6.0,16.0,0.0,двор,1.0
148257362,0.0,1.0,8500000.0,31.6,21.3,5.1,37.562676,55.761872,3.688069634660127,3.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,двор,1.0
151070059,0.0,4.0,75846316.0,152.0,,,37.561392,55.759932,3.72006251789238,7.0,1.0,0.0,1.0,0.0,4.0,12.0,0.0,двор и улица,1.0
149864199,0.0,2.0,27800000.0,107.0,57.0,14.0,37.547144,55.758073,4.572605893417217,10.0,1.0,1.0,1.0,1.0,13.0,22.0,0.0,двор и улица,1.0
149859844,0.0,3.0,36800000.0,92.0,60.0,14.0,37.615821,55.740958,1.439705988296744,7.0,1.0,1.0,1.0,1.0,4.0,6.0,0.0,двор и улица,1.0
150389374,0.0,1.0,8500000.0,37.0,18.5,11.5,37.668156,55.734805,3.684875410728937,5.0,1.0,0.0,1.0,0.0,6.0,17.0,0.0,улица,1.0
148664905,0.0,2.0,8500000.0,42.0,26.6,5.0,37.567159,55.755282,3.299359821502311,7.0,1.0,1.0,0.0,0.0,1.0,9.0,0.0,–,1.0
149031231,0.0,1.0,8570754.0,44.0,44.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,1.0,,1.0,–,1.0
50961098,0.0,1.0,8577450.0,44.1,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,2.0,39.0,1.0,–,0.0
149031366,0.0,1.0,8628726.0,50.0,50.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150713491,0.0,1.0,8650000.0,38.8,23.1,9.0,37.668237,55.780046,4.212542418329128,2.0,1.0,1.0,0.0,0.0,13.0,14.0,0.0,–,1.0
149031363,0.0,1.0,8672814.0,38.4,38.4,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
148350834,0.0,1.0,8700000.0,39.0,19.0,8.0,37.68897,55.742103,4.517048100259636,10.0,1.0,0.0,0.0,1.0,12.0,17.0,0.0,двор,1.0
150152817,0.0,2.0,8700000.0,44.0,29.0,6.0,37.629547,55.791344,4.22882460645795,6.0,0.0,1.0,1.0,1.0,4.0,9.0,0.0,двор,1.0
150315093,0.0,1.0,8700000.0,38.0,20.0,9.0,37.687659,55.743041,4.409174634439015,10.0,1.0,1.0,0.0,1.0,6.0,17.0,0.0,двор,1.0
145539078,0.0,1.0,8800000.0,30.0,18.0,6.0,37.587021,55.76762,2.569109684799282,9.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,двор,0.0
149031325,0.0,1.0,8839861.0,52.7,52.7,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
150094573,0.0,2.0,8900000.0,47.5,31.0,7.0,37.67431,55.728591,4.409627631500146,9.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,двор и улица,1.0
149330276,0.0,1.0,8900000.0,40.0,20.0,10.5,37.67784,55.745473,3.745475311493099,3.0,0.0,0.0,1.0,1.0,12.0,22.0,0.0,двор и улица,1.0
151019103,0.0,1.0,8900000.0,39.0,23.0,10.0,37.682592,55.771616,4.402581172439001,3.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,двор,0.0
149031385,0.0,1.0,8943624.0,49.9,49.9,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
150975782,0.0,2.0,8950000.0,46.4,24.2,9.2,37.598914,55.785726,3.7923561769805034,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,двор,1.0
149031383,0.0,1.0,8949981.0,38.9,38.9,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
147059590,0.0,1.0,9000000.0,36.7,16.0,10.1,37.572369,55.771925,3.5928406875406207,5.0,1.0,1.0,1.0,0.0,1.0,16.0,0.0,двор,1.0
140323353,0.0,2.0,9000000.0,48.0,31.0,7.2,37.639671,55.787801,3.988973038717779,7.0,1.0,1.0,1.0,1.0,7.0,12.0,0.0,двор,1.0
147215248,0.0,1.0,9000000.0,36.7,16.0,10.1,37.572369,55.771925,3.5928406875406207,9.0,1.0,1.0,1.0,0.0,1.0,16.0,0.0,двор,1.0
149922809,0.0,2.0,9000000.0,54.0,34.0,9.0,37.655347,55.771312,2.961559858670742,3.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,двор,1.0
148934694,0.0,1.0,9000000.0,31.0,18.0,5.0,37.657493,55.765088,2.675246949520691,11.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0,двор,1.0
149657988,0.0,2.0,9000000.0,52.0,40.0,7.0,37.635979,55.788054,3.9504573467575144,8.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,двор и улица,0.0
150515133,0.0,1.0,9000000.0,33.0,17.0,7.0,37.657305,55.753889,2.3461163202454927,4.0,1.0,0.0,1.0,0.0,4.0,12.0,0.0,улица,1.0
150777619,0.0,3.0,80000000.0,132.0,99.3,10.0,37.604169,55.739716,1.8384841180429818,9.0,1.0,0.0,0.0,1.0,4.0,6.0,0.0,двор и улица,1.0
150998759,0.0,3.0,42000000.0,123.0,85.0,17.0,37.664211,55.751928,2.7853617515820264,8.0,1.0,1.0,0.0,1.0,7.0,9.0,1.0,улица,1.0
145241897,0.0,2.0,63736400.0,85.0,49.0,12.0,37.594324,55.745291,1.8496762242779845,10.0,1.0,1.0,1.0,1.0,8.0,9.0,0.0,двор,1.0
150809777,0.0,1.0,9000000.0,40.0,20.0,10.0,37.678514,55.768061,4.003652806061187,7.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,двор,1.0
149031378,0.0,1.0,9069305.0,53.6,53.6,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
148894545,0.0,1.0,9100000.0,38.0,19.1,10.0,37.634892,55.725995,3.2230692229934017,9.0,1.0,0.0,1.0,1.0,12.0,16.0,0.0,двор,1.0
150118029,0.0,2.0,9117548.0,53.3,53.3,,37.67228,55.775824,4.100437086981133,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,двор,1.0
149031357,0.0,1.0,9117548.0,53.3,53.3,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
148224543,0.0,2.0,9200000.0,44.0,29.0,6.0,37.627966,55.779423,2.9043572225021843,6.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,двор,0.0
147901521,0.0,1.0,9200000.0,38.0,19.0,8.0,37.683877,55.74108,4.248858668646864,11.0,1.0,0.0,1.0,1.0,9.0,17.0,0.0,двор,1.0
50961558,0.0,1.0,9230550.0,44.7,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,7.0,39.0,1.0,–,0.0
138051082,0.0,1.0,9242550.0,43.7,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,7.0,39.0,1.0,–,0.0
150297774,0.0,2.0,9300000.0,45.0,29.3,6.0,37.54604,55.762439,4.71632374650763,15.0,1.0,0.0,1.0,1.0,6.0,12.0,0.0,двор,1.0
149920195,0.0,1.0,9356608.0,42.6,42.6,,37.672163,55.776294,4.126151005667003,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,улица,1.0
138051101,0.0,1.0,9373650.0,42.9,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,9.0,39.0,1.0,–,0.0
150329842,0.0,2.0,9390000.0,37.0,22.0,8.0,37.678559,55.774811,4.359379781539219,2.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,двор,1.0
149727428,0.0,1.0,9400000.0,38.4,18.0,7.5,37.683877,55.74108,4.248858668646864,9.0,1.0,0.0,1.0,1.0,6.0,17.0,0.0,двор,1.0
50961018,0.0,1.0,9432900.0,44.6,,,37.564721,55.771218,3.9578311763012803,5.0,1.0,1.0,0.0,0.0,7.0,39.0,1.0,–,0.0
150639725,0.0,2.0,9500000.0,43.0,29.0,6.0,37.653909,55.73478,2.997771719849383,9.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,двор,0.0
